Unnamed: 0,char,dialog,movie,dialog_length,word_count,sentiment,confidence,dominant_topic,topic_label
0,DEAGOL,"Oh Smeagol Ive got one! , Ive got a fish Smeagol, Smeagol!    ",The Return of the King ,62.0,12.0,NEGATIVE,0.9568710327148438,Topic 2,Friendship & Loyalty
1,SMEAGOL,"Pull it in! Go on, go on, go on, pull it in!  ",The Return of the King ,46.0,12.0,POSITIVE,0.9298707842826844,Topic 7,Death & Sacrifice
2,DEAGOL,Arrghh! ,The Return of the King ,8.0,1.0,NEGATIVE,0.962624490261078,Topic 1,War & Battle
3,SMEAGOL,Deagol!  ,The Return of the King ,9.0,1.0,POSITIVE,0.9972286820411682,Topic 1,War & Battle
4,SMEAGOL,Deagol!  ,The Return of the King ,9.0,1.0,POSITIVE,0.9972286820411682,Topic 1,War & Battle
5,SMEAGOL,Deagol!  ,The Return of the King ,9.0,1.0,POSITIVE,0.9972286820411682,Topic 1,War & Battle
6,SMEAGOL,Give us that! Deagol my love  ,The Return of the King ,30.0,6.0,POSITIVE,0.9997521042823792,Topic 1,War & Battle
7,DEAGOL,Why?  ,The Return of the King ,6.0,1.0,NEGATIVE,0.9967441558837892,Topic 1,War & Battle
8,SMEAGOL,"Because' , it's my birthday and I wants it.  ",The Return of the King ,45.0,9.0,POSITIVE,0.9997673630714417,Topic 3,The Ring & Power
9,SMEAGOL, My precious.  ,The Return of the King ,15.0,2.0,POSITIVE,0.999674677848816,Topic 1,War & Battle
10,SMEAGOL,They cursed us ,The Return of the King ,15.0,3.0,NEGATIVE,0.9976184964179992,Topic 1,War & Battle
11,(GOLLUM,Murderer) ,The Return of the King ,10.0,1.0,NEGATIVE,0.988014042377472,Topic 1,War & Battle
12,SMEAGOL,'Murderer' they called us. They cursed us and drove us away.    ,The Return of the King ,64.0,11.0,NEGATIVE,0.995890974998474,Topic 6,Hope & Courage
13,SMEAGOL,"Gollum' Gollum' Gollum' , and we wept precious. We wept to be so alone.  ",The Return of the King ,73.0,14.0,POSITIVE,0.9646140336990356,Topic 7,Death & Sacrifice
14,SMEAGOL,"and cool, so nice for feet' and we only wish to catch a fish    , so juicy sweet.  ",The Return of the King ,83.0,18.0,POSITIVE,0.999686360359192,Topic 5,Fear & Danger
15,SMEAGOL,"And we forgot the taste of bread, the sound of trees and the softness of     the wind. We even forgot our own name.  ",The Return of the King ,117.0,23.0,NEGATIVE,0.997463583946228,Topic 8,Home & Peace
16,FRODO,    Gandalf?        ,The Return of the King ,20.0,1.0,NEGATIVE,0.98123300075531,Topic 1,War & Battle
17,FRODO,    Oooohhh! ,The Return of the King ,13.0,1.0,POSITIVE,0.9860780239105223,Topic 1,War & Battle
18,MERRY,    Frodo!  ,The Return of the King ,12.0,1.0,POSITIVE,0.9916398525238036,Topic 8,Home & Peace
19,GIMLI,    Aaaahh!  ,The Return of the King ,13.0,1.0,POSITIVE,0.6908584833145142,Topic 1,War & Battle
20,FRODO,    Gimli!  ,The Return of the King ,12.0,1.0,NEGATIVE,0.756072461605072,Topic 5,Fear & Danger
21,GOLLUM,My precious!    ,The Return of the King ,16.0,2.0,POSITIVE,0.9997325539588928,Topic 1,War & Battle
22,GOLLUM,"Wake up! , Wake up!     ,Wake up sleepies! We must go, yes, we must go at once.  ",The Return of the King ,81.0,17.0,POSITIVE,0.9496110677719116,Topic 6,Hope & Courage
23,SAM,Haven't you had any sleep Mr Frodo?  ,The Return of the King ,37.0,7.0,NEGATIVE,0.9971598386764526,Topic 7,Death & Sacrifice
24,SAM,"And I've gone and had too much. , It must be getting late.  ",The Return of the King ,60.0,13.0,NEGATIVE,0.9994624257087708,Topic 4,Journey & Quest
25,FRODO,"No, it isn't. It isn't midday yet. , The days are growing darker.  ",The Return of the King ,67.0,13.0,NEGATIVE,0.9970592260360718,Topic 4,Journey & Quest
26,GOLLUM,Come on! Must go! No time!  ,The Return of the King ,28.0,6.0,NEGATIVE,0.993748903274536,Topic 5,Fear & Danger
27,SAM,Not before Mr Frodo's had something to eat.  ,The Return of the King ,45.0,8.0,POSITIVE,0.9919012188911438,Topic 8,Home & Peace
28,GOLLUM,No time to lose silly!  ,The Return of the King ,24.0,5.0,POSITIVE,0.9996774196624756,Topic 5,Fear & Danger
29,SAM,Here. ,The Return of the King ,6.0,1.0,POSITIVE,0.9960206151008606,Topic 1,War & Battle
30,FRODO,What about you?  ,The Return of the King ,17.0,3.0,NEGATIVE,0.8230732083320618,Topic 1,War & Battle
31,SAM,"Oh no, I'm not hungry, leastways not for lembas bread.  ",The Return of the King ,56.0,10.0,NEGATIVE,0.9503517150878906,Topic 2,Friendship & Loyalty
32,FRODO,Sam!  ,The Return of the King ,6.0,1.0,POSITIVE,0.9991631507873536,Topic 3,The Ring & Power
33,FRODO,    Aragorn!  ,The Return of the King ,14.0,1.0,POSITIVE,0.9948139190673828,Topic 4,Journey & Quest
34,GANDALF,    Now come the days of the King. May they be blessed. ,The Return of the King ,56.0,11.0,POSITIVE,0.9995800852775574,Topic 5,Fear & Danger
35,ARAGORN,"    This day does not belong to one man, but to all. Let us together rebuild     this world, that we may share in the days of peace.  ",The Return of the King ,134.0,26.0,POSITIVE,0.9995625615119934,Topic 2,Friendship & Loyalty
36,ARAGORN,    Et E'rello Endorenna ut'lien. Sinome maruvan ar Hildinyar tenn' Ambar-metta!     ,The Return of the King ,85.0,10.0,NEGATIVE,0.9181522727012634,Topic 1,War & Battle
37,ARAGORN,    Hannon le. ,The Return of the King ,15.0,2.0,POSITIVE,0.985079824924469,Topic 1,War & Battle
38,ARAGORN,"    My friends, , you bow to     no-one.  ",The Return of the King ,42.0,7.0,NEGATIVE,0.5529003739356995,Topic 5,Fear & Danger
39,FRODO,"    ,And thus     it was a Fourth Age of Middle Earth began. And the Fellowship of the Ring,     though eternally bound by friendship and love was ended.            Thirteen months to the day since Gandalf sent us on our long journey we find     ourselves looking upon a familiar sight.  ",The Return of the King ,288.0,47.0,POSITIVE,0.9986860156059264,Topic 3,The Ring & Power
40,FRODO,    We were home.  ,The Return of the King ,19.0,3.0,POSITIVE,0.9998038411140442,Topic 2,Friendship & Loyalty
41,PIPPIN,    Alright!  ,The Return of the King ,14.0,1.0,POSITIVE,0.999683141708374,Topic 3,The Ring & Power
42,HOBBIT,    Hey watch the pumpkin. ,The Return of the King ,27.0,4.0,POSITIVE,0.989968240261078,Topic 1,War & Battle
43,ROSIE,    Goodnight lads.  ,The Return of the King ,21.0,2.0,NEGATIVE,0.9492152333259584,Topic 1,War & Battle
44,SAM,"Oh alright, but we don't have that much left. We have to be careful or     we are going to run out. You go ahead and eat that Mr Frodo. I've rationed     it, there should be enough.  ",The Return of the King ,183.0,36.0,NEGATIVE,0.991239368915558,Topic 3,The Ring & Power
45,FRODO,For what?  ,The Return of the King ,11.0,2.0,NEGATIVE,0.991776704788208,Topic 1,War & Battle
46,SAM,The journey home.  ,The Return of the King ,19.0,3.0,POSITIVE,0.9997182488441468,Topic 5,Fear & Danger
47,GOLLUM,"Come Hobbitses, very close now. Very close to Mordor. No safe places here. Hurry.  ",The Return of the King ,83.0,14.0,NEGATIVE,0.9989954829216005,Topic 5,Fear & Danger
48,MERRY,"It's good. Definitely from the Shire. ,Longbottom leaf eh?  ",The Return of the King ,60.0,9.0,POSITIVE,0.9998469352722168,Topic 8,Home & Peace
49,PIPPIN,"uhh huh , I feel like I'm back at the Green Dragon.  ",The Return of the King ,53.0,12.0,POSITIVE,0.7247067093849182,Topic 1,War & Battle
50,MERRY,"Mmmm , Green Dragon!  ",The Return of the King ,22.0,4.0,POSITIVE,0.9840835928916932,Topic 1,War & Battle
51,PIPPIN,A mug of ale in my hand. Putting my feet up on a settle after a hard     day's work.  ,The Return of the King ,86.0,19.0,NEGATIVE,0.6940637826919556,Topic 2,Friendship & Loyalty
52,MERRY,"Only, , you've never done a hard day's work.     ",The Return of the King ,49.0,9.0,POSITIVE,0.9950395226478576,Topic 2,Friendship & Loyalty
53,PIPPIN,Ahaha! ,The Return of the King ,7.0,1.0,POSITIVE,0.9875745177268982,Topic 1,War & Battle
54,MERRY,"Welcome, my lords to Isengard!  ",The Return of the King ,32.0,5.0,POSITIVE,0.999704897403717,Topic 3,The Ring & Power
55,GIMLI,You young rascals. A merry hunt you've led us on and now we find you     feasting and ' and smoking!  ,The Return of the King ,102.0,20.0,POSITIVE,0.9988428354263306,Topic 2,Friendship & Loyalty
56,PIPPIN,    Hmm?  ,The Return of the King ,10.0,1.0,NEGATIVE,0.9931548833847046,Topic 1,War & Battle
57,FRODO,"    How do you pick up the threads of an old life? How do you go on, when in     your heart you begin to understand there is no going back? There are some     things that time cannot mend. Some hurts that go too deep, that have taken     hold. ",The Return of the King ,244.0,47.0,NEGATIVE,0.9017953872680664,Topic 7,Death & Sacrifice
58,SAM,    Mr Frodo? What is it?  ,The Return of the King ,27.0,5.0,NEGATIVE,0.9960035681724548,Topic 8,Home & Peace
59,FRODO,    It's been four years to the day since Weathertop Sam. It's never really     healed.  ,The Return of the King ,89.0,14.0,NEGATIVE,0.9996069073677064,Topic 3,The Ring & Power
60,SAM,"    , There and Back Again, a Hobbits tale     by Bilbo Baggins and the Lord of the Rings by Frodo Baggins. You finished     it. ",The Return of the King ,129.0,23.0,POSITIVE,0.9947899580001832,Topic 8,Home & Peace
61,FRODO,    Not quite. There's room for a little more.  ,The Return of the King ,48.0,8.0,NEGATIVE,0.999627947807312,Topic 1,War & Battle
62,FRODO,"    Bilbo once told me his part in this tale would end. That each of us must     come and go in the telling. Bilbo's story was now over. There would be no     more journeys for him. , save one.  ",The Return of the King ,195.0,38.0,NEGATIVE,0.996931791305542,Topic 8,Home & Peace
63,BILBO,"    Tell me again lad, where are we going? ",The Return of the King ,43.0,8.0,NEGATIVE,0.9898588061332704,Topic 1,War & Battle
