Unnamed: 0,char,dialog,movie,dialog_length,word_count,sentiment,confidence
0,DEAGOL,"Oh Smeagol Ive got one! , Ive got a fish Smeagol, Smeagol!    ",The Return of the King ,62.0,12.0,NEGATIVE,0.9568710327148438
1,SMEAGOL,"Pull it in! Go on, go on, go on, pull it in!  ",The Return of the King ,46.0,12.0,POSITIVE,0.9298707842826843
2,DEAGOL,Arrghh! ,The Return of the King ,8.0,1.0,NEGATIVE,0.9626244902610779
3,SMEAGOL,Deagol!  ,The Return of the King ,9.0,1.0,POSITIVE,0.9972286820411682
4,SMEAGOL,Deagol!  ,The Return of the King ,9.0,1.0,POSITIVE,0.9972286820411682
5,SMEAGOL,Deagol!  ,The Return of the King ,9.0,1.0,POSITIVE,0.9972286820411682
6,SMEAGOL,Give us that! Deagol my love  ,The Return of the King ,30.0,6.0,POSITIVE,0.9997521042823792
7,DEAGOL,Why?  ,The Return of the King ,6.0,1.0,NEGATIVE,0.9967441558837891
8,SMEAGOL,"Because' , it's my birthday and I wants it.  ",The Return of the King ,45.0,9.0,POSITIVE,0.9997673630714417
9,SMEAGOL, My precious.  ,The Return of the King ,15.0,2.0,POSITIVE,0.9996746778488159
10,SMEAGOL,They cursed us ,The Return of the King ,15.0,3.0,NEGATIVE,0.9976184964179993
11,(GOLLUM,Murderer) ,The Return of the King ,10.0,1.0,NEGATIVE,0.9880140423774719
12,SMEAGOL,'Murderer' they called us. They cursed us and drove us away.    ,The Return of the King ,64.0,11.0,NEGATIVE,0.9958909749984741
13,SMEAGOL,"Gollum' Gollum' Gollum' , and we wept precious. We wept to be so alone.  ",The Return of the King ,73.0,14.0,POSITIVE,0.9646140336990356
14,SMEAGOL,"and cool, so nice for feet' and we only wish to catch a fish    , so juicy sweet.  ",The Return of the King ,83.0,18.0,POSITIVE,0.9996863603591919
15,SMEAGOL,"And we forgot the taste of bread, the sound of trees and the softness of     the wind. We even forgot our own name.  ",The Return of the King ,117.0,23.0,NEGATIVE,0.997463583946228
16,FRODO,    Gandalf?        ,The Return of the King ,20.0,1.0,NEGATIVE,0.9812330007553101
17,FRODO,    Oooohhh! ,The Return of the King ,13.0,1.0,POSITIVE,0.9860780239105225
18,MERRY,    Frodo!  ,The Return of the King ,12.0,1.0,POSITIVE,0.9916398525238037
19,GIMLI,    Aaaahh!  ,The Return of the King ,13.0,1.0,POSITIVE,0.6908584833145142
20,FRODO,    Gimli!  ,The Return of the King ,12.0,1.0,NEGATIVE,0.756072461605072
21,GOLLUM,My precious!    ,The Return of the King ,16.0,2.0,POSITIVE,0.9997325539588928
22,GOLLUM,"Wake up! , Wake up!     ,Wake up sleepies! We must go, yes, we must go at once.  ",The Return of the King ,81.0,17.0,POSITIVE,0.9496110677719116
23,SAM,Haven't you had any sleep Mr Frodo?  ,The Return of the King ,37.0,7.0,NEGATIVE,0.9971598386764526
24,SAM,"And I've gone and had too much. , It must be getting late.  ",The Return of the King ,60.0,13.0,NEGATIVE,0.9994624257087708
25,FRODO,"No, it isn't. It isn't midday yet. , The days are growing darker.  ",The Return of the King ,67.0,13.0,NEGATIVE,0.9970592260360718
26,GOLLUM,Come on! Must go! No time!  ,The Return of the King ,28.0,6.0,NEGATIVE,0.9937489032745361
27,SAM,Not before Mr Frodo's had something to eat.  ,The Return of the King ,45.0,8.0,POSITIVE,0.9919012188911438
28,GOLLUM,No time to lose silly!  ,The Return of the King ,24.0,5.0,POSITIVE,0.9996774196624756
29,SAM,Here. ,The Return of the King ,6.0,1.0,POSITIVE,0.9960206151008606
30,FRODO,What about you?  ,The Return of the King ,17.0,3.0,NEGATIVE,0.8230732083320618
31,SAM,"Oh no, I'm not hungry, leastways not for lembas bread.  ",The Return of the King ,56.0,10.0,NEGATIVE,0.9503517150878906
32,FRODO,Sam!  ,The Return of the King ,6.0,1.0,POSITIVE,0.9991631507873535
33,FRODO,    Aragorn!  ,The Return of the King ,14.0,1.0,POSITIVE,0.9948139190673828
34,GANDALF,    Now come the days of the King. May they be blessed. ,The Return of the King ,56.0,11.0,POSITIVE,0.9995800852775574
35,ARAGORN,"    This day does not belong to one man, but to all. Let us together rebuild     this world, that we may share in the days of peace.  ",The Return of the King ,134.0,26.0,POSITIVE,0.9995625615119934
